articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
AGA-PI0032,AUTUMN DEGREES  - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0033,BAR - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0034,CAMP WAREN - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0035,CAMP WAREN - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0036,DEER - MAROON,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,24,MAROON,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0037,DEER - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0038,DIGITAL - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0039,EXPLORE MORE - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0040,FLAG - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0041,GIVAR - GREEN,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,19,GREEN,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0042,GIVAR - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0043,GLORY FOR ALL - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0044,KEV - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0045,KEV - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0046,KLASSIK - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0047,KUNGSO - GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,21,GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0048,KUNGSO - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0049,LIGHTER - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0050,LINE  - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0051,LINE  - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0052,MALARO - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0053,MALVIK - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0054,MALVIK - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0055,MOUNT LINE  - DARK GREEN,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,13,DARK GREEN,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0056,N SIX - DARK GREEN,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,13,DARK GREEN,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0057,NORDE - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0058,PATCH OF MOUNT  - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0059,PAX - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0060,PAX - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0061,PIC - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0062,POCKET LOGO - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0063,PROTECT TH DEER - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0064,PROTECT TH DEER - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0065,RFOREST - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0066,RFOREST - GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,21,GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0067,SAVEDAL - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
