articleCode,barcode,sizes,CurrentBasePrice,CurrentSalePrice,consignment,consignmentRp,qty,status
ESH.AR-QD0026,00ARQD0214,M,164500,235000,0,70500,0,0
ESH.AR-QD0026,00ARQD0215,L,164500,235000,0,70500,0,0
ESH.AR-QD0026,00ARQD0216,XL,164500,235000,0,70500,0,0
ESH.AR-QD0027,00ARQD0217,S,94500,135000,0,40500,0,0
ESH.AR-QD0027,00ARQD0218,M,94500,135000,0,40500,0,0
ESH.AR-QD0027,00ARQD0219,L,94500,135000,0,40500,0,0
ESH.AR-QD0027,00ARQD0220,XL,94500,135000,0,40500,0,0
ESH.AR-QD0028,00ARQD0221,S,94500,135000,0,40500,0,0
ESH.AR-QD0028,00ARQD0222,M,94500,135000,0,40500,0,0
ESH.AR-QD0028,00ARQD0223,L,94500,135000,0,40500,0,0
ESH.AR-QD0028,00ARQD0224,XL,94500,135000,0,40500,0,0
ESH.AR-QD0029,00ARQD0241,S,220500,315000,0,94500,0,0
ESH.AR-QD0029,00ARQD0242,M,220500,315000,0,94500,0,0
ESH.AR-QD0029,00ARQD0243,L,220500,315000,0,94500,0,0
ESH.AR-QD0029,00ARQD0244,XL,220500,315000,0,94500,0,0
ESH.AR-QD0030,00ARQD0245,S,227500,325000,0,97500,0,0
ESH.AR-QD0030,00ARQD0246,M,227500,325000,0,97500,0,0
ESH.AR-QD0030,00ARQD0247,L,227500,325000,0,97500,0,0
ESH.AR-QD0030,00ARQD0248,XL,227500,325000,0,97500,0,0
ESH.AR-QD0031,00ARQD0249,S,227500,325000,0,97500,0,0
ESH.AR-QD0031,00ARQD0250,M,227500,325000,0,97500,0,0
ESH.AR-QD0031,00ARQD0251,L,227500,325000,0,97500,0,0
ESH.AR-QD0031,00ARQD0252,XL,227500,325000,0,97500,0,0
ESH.AR-QD0032,00ARQD0253,S,227500,325000,0,97500,0,0
ESH.AR-QD0032,00ARQD0254,M,227500,325000,0,97500,0,0
ESH.AR-QD0032,00ARQD0255,L,227500,325000,0,97500,0,0
ESH.AR-QD0032,00ARQD0256,XL,227500,325000,0,97500,0,0
ESH.AR-QD0033,00ARQD0257,S,94500,135000,0,40500,0,0
ESH.AR-QD0033,00ARQD0258,M,94500,135000,0,40500,0,0
ESH.AR-QD0033,00ARQD0259,L,94500,135000,0,40500,0,0
ESH.AR-QD0033,00ARQD0260,XL,94500,135000,0,40500,0,0
ESH.AR-QD0034,00ARQD0265,S,220500,315000,0,94500,0,0
ESH.AR-QD0034,00ARQD0266,M,220500,315000,0,94500,0,0
ESH.AR-QD0034,00ARQD0267,L,220500,315000,0,94500,0,0
ESH.AR-QD0034,00ARQD0268,XL,220500,315000,0,94500,0,0
ESH.AR-QD0035,00ARQD0273,S,227500,325000,0,97500,0,0
ESH.AR-QD0035,00ARQD0274,M,227500,325000,0,97500,0,0
ESH.AR-QD0035,00ARQD0275,L,227500,325000,0,97500,0,0
ESH.AR-QD0035,00ARQD0276,XL,227500,325000,0,97500,0,0
ESH.AR-QD0036,00ARQD0295,ALL,98000,140000,0,42000,0,0
ESH.AR-QD0037,00ARQD0296,ALL,98000,140000,0,42000,0,0
ESH.AR-QD0038,00ARQD0297,ALL,98000,140000,0,42000,0,0
ESH.AR-QD0039,00ARQD0298,ALL,105000,150000,0,45000,0,0
ESH.AR-QE0001,00ARQE0020,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0002,00ARQE0021,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0003,00ARQE0022,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0004,00ARQE0023,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0005,00ARQE0024,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0006,00ARQE0025,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0007,00ARQE0026,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0008,00ARQE0027,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0009,00ARQE0028,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0010,00ARQE0043,28,192500,275000,0,82500,0,0
ESH.AR-QE0010,00ARQE0044,30,192500,275000,0,82500,0,0
ESH.AR-QE0010,00ARQE0045,32,192500,275000,0,82500,0,0
ESH.AR-QE0010,00ARQE0046,34,192500,275000,0,82500,0,0
ESH.AR-QE0010,00ARQE0047,36,192500,275000,0,82500,0,0
ESH.AR-QE0011,00ARQE0048,28,192500,275000,0,82500,0,0
ESH.AR-QE0011,00ARQE0049,30,192500,275000,0,82500,0,0
ESH.AR-QE0011,00ARQE0050,32,192500,275000,0,82500,0,0
ESH.AR-QE0011,00ARQE0051,34,192500,275000,0,82500,0,0
ESH.AR-QE0011,00ARQE0052,36,192500,275000,0,82500,0,0
ESH.AR-QE0012,00ARQE0053,ALL,143500,205000,0,61500,0,0
ESH.AR-QE0013,00ARQE0054,S,94500,135000,0,40500,0,0
ESH.AR-QE0013,00ARQE0055,M,94500,135000,0,40500,0,0
ESH.AR-QE0013,00ARQE0056,L,94500,135000,0,40500,0,0
ESH.AR-QE0013,00ARQE0057,XL,94500,135000,0,40500,0,0
ESH.AR-QE0014,00ARQE0058,S,94500,135000,0,40500,0,0
ESH.AR-QE0014,00ARQE0059,M,94500,135000,0,40500,0,0
ESH.AR-QE0014,00ARQE0060,L,94500,135000,0,40500,0,0
ESH.AR-QE0014,00ARQE0061,XL,94500,135000,0,40500,0,0
ESH.AR-QE0015,00ARQE0062,S,94500,135000,0,40500,0,0
ESH.AR-QE0015,00ARQE0063,M,94500,135000,0,40500,0,0
ESH.AR-QE0015,00ARQE0064,L,94500,135000,0,40500,0,0
ESH.AR-QE0015,00ARQE0065,XL,94500,135000,0,40500,0,0
ESH.AR-QE0016,00ARQE0066,S,94500,135000,0,40500,0,0
ESH.AR-QE0016,00ARQE0067,M,94500,135000,0,40500,0,0
ESH.AR-QE0016,00ARQE0068,L,94500,135000,0,40500,0,0
