noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E290002,AR.TUC-SD017,20ARSD0487,L,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E290003,AR.STY-SE013,20ARSE0579,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290003,AR.STY-SE016,20ARSE0582,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290004,ESH.AR-SE0031,00ARSE0272,M,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290005,AR.TUC-SD004,20ARSD0153,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290005,ESH.AR-SC0027,00ARSC0262,M,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290006,BSC.AR-SE0046,00ARSE0398,S,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290006,ESH.AR-SC0012,00ARSC0088,S,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290007,AR.PUB-SB024,20ARSB0130,L,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290008,BSC.AR-SE0015,00ARSE0183,S,1,44000,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290009,AR.ASH-SD002,20ARSD0386,L,1,91000,140000,2,0,70000,1,0,17500,70000,52500
01SCS19E290009,AR.CPT-SD007,20ARSD0439,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290009,AR.PUB-SD019,20ARSD0188,ALL,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290009,AR.STY-SE013,20ARSE0579,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290010,AR.HMR-SD007,20ARSD0545,M,1,243750,375000,2,0,75000,1,0,75000,300000,225000
01SCS19E290010,AR.TUC-SE017,20ARSE0428,L,1,146250,225000,2,0,45000,1,0,45000,180000,135000
01SCS19E290010,ESH.AR-SD0026,00ARSD0267,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290011,BSC.AR-SE0029,00ARSE0285,L,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290012,BSC.AR-SC0001,00ARSC0013,S,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290013,BSC.AR-SD0016,00ARSD0119,M,1,122000,375000,0,0,0,0,0,75000,375000,300000
01SCS19E290014,ESH.AR-SD0005,00ARSD0052,XL,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290014,ESH.AR-SE0005,00ARSE0020,XL,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290015,AR.HMR-SB002,20ARSB0343,XL,1,226850,349000,2,0,69800,1,0,69800,279200,209400
01SCS19E290016,AR.PUB-SE031,20ARSE0324,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290017,AR.FHL-SC006,20ARSC0349,XL,1,110500,170000,2,0,34000,1,0,34000,136000,102000
01SCS19E290017,ESH.AR-SC0027,00ARSC0264,XL,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290018,ESH.AR-SC0013,00ARSC0105,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290019,AR.CPT-SD008,20ARSD0442,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290020,AR.TUC-RI011,20ARRI0369,XL,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E290020,AR.YAS-SE018,20ARSE0768,XL,1,122850,189000,2,0,37800,1,0,37800,151200,113400
01SCS19E290021,BSC.AR-SD0041,00ARSD0224,M,1,44500,159000,0,0,0,0,0,31800,159000,127200
